,pos_x,pos_y,r,t
4456,45.0,15.0,1,8912
4457,45.0,15.0,1,8914
4458,45.0,15.0,1,8916
4459,45.0,15.0,1,8918
4460,45.0,15.0,1,8920
4461,45.0,15.0,1,8922
4462,45.0,15.0,1,8924
4463,45.0,15.0,1,8926
4464,45.0,15.0,1,8928
4465,45.0,15.0,1,8930
4466,45.0,15.0,1,8932
4467,45.0,15.0,1,8934
4468,45.0,15.0,1,8936
4469,45.0,15.0,1,8938
4470,45.0,15.0,1,8940
4471,45.0,15.0,1,8942
4472,45.0,15.0,1,8944
4473,45.0,15.0,1,8946
4474,45.0,15.0,1,8948
4475,45.0,15.0,1,8950
4476,45.0,15.0,1,8952
4477,45.0,15.0,1,8954
4478,45.0,15.0,1,8956
4479,45.0,15.0,1,8958
4480,45.0,15.0,1,8960
4481,45.0,15.0,1,8962
4482,45.0,15.0,1,8964
4483,45.0,15.0,1,8966
4484,45.0,15.0,1,8968
4485,45.0,15.0,1,8970
4486,45.0,15.0,1,8972
4487,45.0,15.0,1,8974
4488,45.0,15.0,1,8976
4489,45.0,15.0,1,8978
4490,45.0,15.0,1,8980
4491,45.0,15.0,1,8982
4492,45.0,15.0,1,8984
4493,45.0,15.0,1,8986
4494,45.0,15.0,1,8988
4495,45.0,15.0,1,8990
4496,45.0,15.0,1,8992
4497,45.0,15.0,1,8994
4498,45.0,15.0,1,8996
4499,45.0,15.0,1,8998
4500,45.0,15.0,1,9000
4501,45.0,15.0,1,9002
4502,45.0,15.0,1,9004
4503,45.0,15.0,1,9006
4504,45.0,15.0,1,9008
4505,45.0,15.0,1,9010
4506,45.0,15.0,1,9012
4507,45.0,15.0,1,9014
4508,45.0,15.0,1,9016
4509,45.0,15.0,1,9018
4510,45.0,15.0,1,9020
4511,45.0,15.0,1,9022
4512,45.0,15.0,1,9024
4513,45.0,15.0,1,9026
4514,45.0,15.0,1,9028
4515,45.0,15.0,1,9030
4516,45.0,15.0,1,9032
4517,45.0,15.0,1,9034
4518,45.0,15.0,1,9036
4519,45.0,15.0,1,9038
4520,45.0,15.0,1,9040
4521,45.0,15.0,1,9042
4522,45.0,15.0,1,9044
4523,45.0,15.0,1,9046
4524,45.0,15.0,1,9048
4525,45.0,15.0,1,9050
4526,45.0,15.0,1,9052
4527,45.0,15.0,1,9054
4528,45.0,15.0,1,9056
4529,45.0,15.0,1,9058
4530,45.0,15.0,1,9060
4531,45.0,15.0,1,9062
4532,45.0,15.0,1,9064
4533,45.0,15.0,1,9066
4534,45.0,15.0,1,9068
4535,45.0,15.0,1,9070
4536,45.0,15.0,1,9072
4537,45.0,15.0,1,9074
4538,45.0,15.0,1,9076
4539,45.0,15.0,1,9078
4540,45.0,15.0,1,9080
4541,45.0,15.0,1,9082
4542,45.0,15.0,1,9084
4543,45.0,15.0,1,9086
4544,45.0,15.0,1,9088
4545,45.0,15.0,1,9090
4546,45.0,15.0,1,9092
4547,45.0,15.0,1,9094
4548,45.0,15.0,1,9096
4549,45.0,15.0,1,9098
4550,45.0,15.0,1,9100
4551,45.0,15.0,1,9102
4552,45.0,15.0,1,9104
4553,45.0,15.0,1,9106
4554,45.0,15.0,1,9108
4555,45.0,15.0,1,9110
4556,45.0,15.0,1,9112
4557,45.0,15.0,1,9114
4558,45.0,15.0,1,9116
4559,45.0,15.0,1,9118
4560,45.0,15.0,1,9120
4561,45.0,15.0,1,9122
4562,45.0,15.0,1,9124
4563,45.0,15.0,1,9126
4564,45.0,15.0,1,9128
4565,45.0,15.0,1,9130
4566,45.0,15.0,1,9132
4567,45.0,15.0,1,9134
4568,45.0,15.0,1,9136
4569,45.0,15.0,1,9138
4570,45.0,15.0,1,9140
4571,45.0,15.0,1,9142
4572,45.0,15.0,1,9144
4573,45.0,15.0,1,9146
4574,45.0,15.0,1,9148
4575,45.0,15.0,1,9150
4576,45.0,15.0,1,9152
4577,45.0,15.0,1,9154
4578,45.0,15.0,1,9156
4579,45.0,15.0,1,9158
4580,45.0,15.0,1,9160
4581,45.0,15.0,1,9162
4582,45.0,15.0,1,9164
4583,45.0,15.0,1,9166
4584,45.0,15.0,1,9168
4585,45.0,15.0,1,9170
4586,45.0,15.0,1,9172
4587,45.0,15.0,1,9174
4588,45.0,15.0,1,9176
4589,45.0,15.0,1,9178
4590,45.0,15.0,1,9180
4591,45.0,15.0,1,9182
4592,45.0,15.0,1,9184
4593,45.0,15.0,1,9186
4594,45.0,15.0,1,9188
4595,45.0,15.0,1,9190
4596,45.0,15.0,1,9192
4597,45.0,15.0,1,9194
4598,45.0,15.0,1,9196
4599,45.0,15.0,1,9198
4600,45.0,15.0,1,9200
4601,45.0,15.0,1,9202
4602,45.0,15.0,1,9204
4603,45.0,15.0,1,9206
4604,45.0,15.0,1,9208
4605,45.0,15.0,1,9210
4606,45.0,15.0,1,9212
4607,45.0,15.0,1,9214
4608,45.0,15.0,1,9216
4609,45.0,15.0,1,9218
4610,45.0,15.0,1,9220
4611,45.0,15.0,1,9222
4612,45.0,15.0,1,9224
4613,45.0,15.0,1,9226
4614,45.0,15.0,1,9228
4615,45.0,15.0,1,9230
4616,45.0,15.0,1,9232
4617,45.0,15.0,1,9234
4618,45.0,15.0,1,9236
4619,45.0,15.0,1,9238
4620,45.0,15.0,1,9240
4621,45.0,15.0,1,9242
4622,45.0,15.0,1,9244
4623,45.0,15.0,1,9246
4624,45.0,15.0,1,9248
4625,45.0,15.0,1,9250
4626,45.0,15.0,1,9252
4627,45.0,15.0,1,9254
4628,45.0,15.0,1,9256
4629,45.0,15.0,1,9258
4630,45.0,15.0,1,9260
4631,45.0,15.0,1,9262
4632,45.0,15.0,1,9264
4633,45.0,15.0,1,9266
4634,45.0,15.0,1,9268
4635,45.0,15.0,1,9270
4636,45.0,15.0,1,9272
4637,45.0,15.0,1,9274
4638,45.0,15.0,1,9276
4639,45.0,15.0,1,9278
4640,45.0,15.0,1,9280
4641,45.0,15.0,1,9282
4642,45.0,15.0,1,9284
4643,45.0,15.0,1,9286
4644,45.0,15.0,1,9288
4645,45.0,15.0,1,9290
4646,45.0,15.0,1,9292
4647,45.0,15.0,1,9294
4648,45.0,15.0,1,9296
4649,45.0,15.0,1,9298
4650,45.0,15.0,1,9300
4651,45.0,15.0,1,9302
4652,45.0,15.0,1,9304
4653,45.0,15.0,1,9306
4654,45.0,15.0,1,9308
4655,45.0,15.0,1,9310
4656,45.0,15.0,1,9312
4657,45.0,15.0,1,9314
4658,45.0,15.0,1,9316
4659,45.0,15.0,1,9318
4660,45.0,15.0,1,9320
4661,45.0,15.0,1,9322
4662,45.0,15.0,1,9324
4663,45.0,15.0,1,9326
4664,45.0,15.0,1,9328
4665,45.0,15.0,1,9330
4666,45.0,15.0,1,9332
4667,45.0,15.0,1,9334
4668,45.0,15.0,1,9336
4669,45.0,15.0,1,9338
4670,45.0,15.0,1,9340
4671,45.0,15.0,1,9342
4672,45.0,15.0,1,9344
4673,45.0,15.0,1,9346
4674,45.0,15.0,1,9348
4675,45.0,15.0,1,9350
